#Table1
#param_m_h,ra
-9999,66.8729294961
0.04793732,67.007334
-0.3822897,67.033396
-9999,67.038609
0.3286467,67.044
0.1885544,67.05773
-0.3976599,67.0729
-0.2102601,67.077001
-0.03820924,67.108559
-0.2263629,67.110183
-0.335493,67.137242
0.1506004,67.151525
0.4795994,67.164265
0.002100516,67.254841
-0.437852,67.255214
-9999,67.268466
-9999,67.3128122405
-9999,67.3333326035
-1.124866,67.363556
-0.4618183,67.364761
-0.1829696,67.395574
0.1931277,67.406801
-0.2277865,67.409587
-0.2265706,67.410771
-0.1791066,67.411762
-9999,67.413941
-9999,67.4195981497
-0.4762212,67.423275
-9999,67.4249254281
-0.4353517,67.469669
-9999,67.4967568
0.2417466,67.500174
-9999,67.5187973134
-0.05280891,67.548059
-0.3559839,67.576948
-0.5768646,67.602633
-9999,67.6430042177
0.1361841,67.655273
-0.3696114,67.660873
-0.0423409,67.684537
0.1702198,67.711326
-0.03938335,67.715846
0.04327199,67.737846
0.1442894,67.745876
-0.1562089,67.751439
-9999,67.7526252454
-9999,67.7626890766
-0.1674532,67.762826
-0.3887262,67.772836
-0.3469919,67.80305
-9999,67.8031268503
-9999,67.812465
-0.4190156,67.8282
-9999,67.8436078795
0.316292,67.844061
0.024274,67.852763
-0.2601245,67.857056
-0.0643853,67.866494
-9999,67.872049
-9999,67.884841
-0.01928479,67.902909
-0.007697731,67.911374
-0.2616137,67.914448
0.1107279,67.915662
-0.2535506,67.917691
-0.08753297,67.939678
0.1367265,67.940121
0.1092169,67.950217
-0.0608397,67.962605
-0.1542411,68.011002
0.03143942,68.012162
-0.4298348,68.025618
-0.2329246,68.030589
0.04497801,68.068388
-0.08913414,68.086486
-0.1875352,68.08782
-0.4643668,68.101836
0.06301092,68.117856
-9999,68.118661
-9999,68.1326520798
-0.2005356,68.145857
0.006911164,68.154762
-0.3808566,68.157315
0.3018904,68.165843
-0.4277651,68.189635
-0.06515016,68.195414
-9999,68.2012166144
-9999,68.208158
-9999,68.2103157284
-0.4109933,68.243968
-9999,68.26125
-9999,68.2667319465
-9999,68.268915
0.2688841,68.284604
-9999,68.290497
-0.1044323,68.294077
-0.181298,68.300678
-0.09086941,68.304135
-0.5517316,68.308993
-9999,68.31026
-0.3717136,68.331593
-0.02340838,68.332631
-9999,68.3399967858
-0.4713745,68.340234
0.2925294,68.363062
-0.1074249,68.365459
-9999,68.366066
0.2171584,68.369786
-0.1654622,68.388393
-0.2620434,68.397126
-0.09574699,68.403758
-0.3741476,68.419888
-0.3620503,68.424221
-9999,68.450798
0.02364456,68.456362
-0.1377757,68.458849
-0.2022641,68.485309
-0.07131755,68.502564
-0.5315403,68.506885
0.2836737,68.520828
-0.263815,68.534224
-0.1717604,68.55114
-0.3547334,68.561757
-0.3653869,68.561953
-0.1360201,68.573755
-0.0765692,68.58154
-9999,68.593708
-9999,68.5949390978
-0.1145433,68.602662
0.05351591,68.604109
-0.1875543,68.605587
-0.3074489,68.606621
-0.08410427,68.639527
-0.3439475,68.641566
-9999,68.654872
-0.3475973,68.655724
-0.2873307,68.672155
-0.1967437,68.686241
-0.1057892,68.693891
-0.199621,68.708653
-0.03730503,68.752489
-0.2822394,68.752734
0.05760055,68.758251
-0.2215447,68.763946
0.2209776,68.765849
-0.2949448,68.776035
-0.534332,68.786007
0.02885435,68.798438
-0.1439685,68.802202
-0.3423894,68.816504
-0.0967178,68.821372
-0.1542521,68.846488
-0.4620843,68.846703
0.008556325,68.873067
-0.2756338,68.875598
0.01015289,68.905905
-0.2530569,68.908631
-0.05848722,68.917912
0.0830728,68.920034
-0.3245519,68.924916
-0.1033545,68.938163
0.2177497,68.948468
-9999,68.9558427701
-0.03676193,68.965687
-0.3019375,69.002323
-9999,69.014504
-0.4578581,69.0153
-9999,69.031728
0.01287983,69.034343
-0.4375715,69.0406
-9999,69.040703
-0.5299379,69.051034
-0.2467109,69.063627
0.08906421,69.065938
-0.1796729,69.075475
-0.08873488,69.078306
-0.5394596,69.105398
-0.5766045,69.143951
-9999,69.1630672625
0.07826101,69.17695
-0.3819378,69.197164
-0.2904582,69.201764
0.01106265,69.226095
0.02240688,69.228041
-0.2987236,69.23979
0.2043972,69.243141
-9999,69.2585395835
-9999,69.259135
0.04165129,69.302992
-0.3793612,69.322066
-0.3381406,69.322534
-0.256914,69.328229
-9999,69.3300387108
-9999,69.3300950246
-0.2114851,69.370005
0.1446835,69.395295
0.0306674,69.395754
-0.2162281,69.397152
-9999,69.4077120921
-0.2946995,69.431479
-9999,69.433087763
-0.1463785,69.461929
-0.09842208,69.475418
0.2947041,69.489787
0.2503136,69.491049
-9999,69.5035289199
-0.03789783,69.520905
-0.05903056,69.525082
0.2344829,69.529675
-9999,69.5425959687
-9999,69.547571
0.1419955,69.575605
0.09452686,69.581787
0.330653,69.582457
-0.4568627,69.594243
0.2302611,69.595968
-9999,69.6011016524
-0.6481305,69.610515
-0.02394982,69.621168
-9999,69.6241984044
-0.2220423,69.632167
-9999,69.653783404
-0.5819934,69.736443
-0.4563677,69.750673
-0.1894947,69.757306
-0.4032597,69.758247
-0.2569391,69.766715
-9999,69.7703776482
-0.05653324,69.77631
-9999,69.831309
0.1592271,69.859551
-0.02620918,69.8639
-0.2528597,69.872795
-9999,69.885679
-9999,69.889512
-0.3909859,69.896616
-0.5033749,69.90882
-0.2586078,69.911201
0.2651726,69.923986
0.1978367,69.937432
-0.895533,69.959377
-9999,69.9726170345
-0.04497389,69.973329
0.01613009,69.979962
-0.4357529,69.984748
-0.0347027,69.99352
-0.1871093,70.014538
-0.4193936,70.01562
0.2065658,70.040808
0.1065573,70.062303
0.002541018,70.072941
-0.213367,70.095809
0.07136199,70.182825
-0.2303626,70.299405
-0.04269031,70.328023
-0.1401737,70.337124
0.2862244,70.35049
-0.5106027,70.351979
-0.3537471,70.355536
-0.2747515,70.362592
-9999,70.368012
0.2211635,70.371877
-0.4463407,70.376693
-9999,70.4457159345
-9999,70.448829
