#Table1
#param_m_h,teff,logg,param_alpha_m,ra
-9999,-9999,-9999,-9999,66.8729294961
0.04793732,4780.098,2.796748,0.0436785,67.007334
-0.3822897,4521.173,2.045814,0.1190847,67.033396
-9999,-9999,-9999,-9999,67.038609
0.3286467,4720.897,2.569779,0.0759344,67.044
0.1885544,4712.726,2.670946,0.04200524,67.05773
-0.3976599,4940.555,2.522789,0.09207306,67.0729
-0.2102601,4448.12,1.984111,0.06758317,67.077001
-0.03820924,4559.543,2.117782,0.0180097,67.108559
-0.2263629,4811.99,2.456638,0.04658482,67.110183
-0.335493,4285.37,1.762959,0.07687632,67.137242
0.1506004,5046.995,2.716567,0.03121885,67.151525
0.4795994,4561.736,2.398014,0.03702119,67.164265
0.002100516,4743.621,2.496443,0.04303762,67.254841
-0.437852,4716.911,2.387635,0.1017756,67.255214
-9999,-9999,-9999,-9999,67.268466
-9999,-9999,-9999,-9999,67.3128122405
-9999,-9999,-9999,-9999,67.3333326035
-1.124866,4326.93,1.334343,0.1927177,67.363556
-0.4618183,4964.175,2.586318,0.1332474,67.364761
-0.1829696,4514.097,2.12531,0.04521428,67.395574
0.1931277,4855.841,2.81397,0.01435502,67.406801
-0.2277865,4794.15,2.542749,0.09865155,67.409587
-0.2265706,4616.251,2.243242,0.05019391,67.410771
-0.1791066,5068.921,2.921523,0.0530967,67.411762
-9999,-9999,-9999,-9999,67.413941
-9999,-9999,-9999,-9999,67.4195981497
-0.4762212,4269.325,1.523901,0.03216638,67.423275
-9999,-9999,-9999,-9999,67.4249254281
-0.4353517,4930.987,2.663646,0.1286168,67.469669
-9999,-9999,-9999,-9999,67.4967568
0.2417466,4830.128,3.103554,0.05247046,67.500174
-9999,-9999,-9999,-9999,67.5187973134
-0.05280891,5231.073,3.838793,0.08584878,67.548059
-0.3559839,4804.416,2.613234,0.2204674,67.576948
-0.5768646,4526.954,1.875189,0.07877582,67.602633
-9999,-9999,-9999,-9999,67.6430042177
0.1361841,4577.084,2.5878,0.07535858,67.655273
-0.3696114,4665.186,2.297304,0.09509914,67.660873
-0.0423409,4955.405,2.779526,0.02990048,67.684537
0.1702198,5096.627,3.511982,0.04200663,67.711326
-0.03938335,4380.349,1.968941,0.06293273,67.715846
0.04327199,5160.212,3.36873,0.0394057,67.737846
0.1442894,4445.03,2.128047,0.01523052,67.745876
-0.1562089,4816.674,2.610497,0.05476517,67.751439
-9999,-9999,-9999,-9999,67.7526252454
-9999,-9999,-9999,-9999,67.7626890766
-0.1674532,4868.299,2.656689,0.05266686,67.762826
-0.3887262,4839.596,2.442153,0.07963496,67.772836
-0.3469919,4545.79,2.179942,0.102845,67.80305
-9999,-9999,-9999,-9999,67.8031268503
-9999,-9999,-9999,-9999,67.812465
-0.4190156,5023.475,2.713488,0.09408229,67.8282
-9999,-9999,-9999,-9999,67.8436078795
0.316292,4790.861,2.741203,0.02723333,67.844061
0.024274,4615.354,2.427554,0.02676176,67.852763
-0.2601245,5037.925,2.855714,0.05630553,67.857056
-0.0643853,4985.502,2.78808,0.05318748,67.866494
-9999,-9999,-9999,-9999,67.872049
-9999,-9999,-9999,-9999,67.884841
-0.01928479,4913.347,2.653039,0.05839208,67.902909
-0.007697731,4936.369,3.092376,0.06243467,67.911374
-0.2616137,4756.377,2.659768,0.06046734,67.914448
0.1107279,4856.439,2.934411,0.05328327,67.915662
-0.2535506,5055.965,2.856056,0.06944238,67.917691
-0.08753297,4847.569,2.578448,0.06435854,67.939678
0.1367265,4885.042,2.709838,0.01557367,67.940121
0.1092169,5064.137,2.913083,0.01820326,67.950217
-0.0608397,4290.852,1.59587,-0.0006795689,67.962605
-0.1542411,4894.112,2.536818,0.1116927,68.011002
0.03143942,4964.375,2.688282,0.040154,68.012162
-0.4298348,4962.381,2.695924,0.05200311,68.025618
-0.2329246,5146.558,2.799485,0.02955281,68.030589
0.04497801,4804.315,2.692616,0.04667662,68.068388
-0.08913414,4738.338,2.583124,0.04257449,68.086486
-0.1875352,5145.562,3.3133,0.06538686,68.08782
-0.4643668,4985.702,2.784202,0.06089308,68.101836
0.06301092,4748.206,2.546969,0.03877418,68.117856
-9999,-9999,-9999,-9999,68.118661
-9999,-9999,-9999,-9999,68.1326520798
-0.2005356,4925.805,2.637414,0.03618643,68.145857
0.006911164,4052.757,1.2642,0.04986636,68.154762
-0.3808566,4132.487,1.195881,0.04935417,68.157315
0.3018904,4553.962,2.408735,0.04223219,68.165843
-0.4277651,4795.944,2.37737,0.03875886,68.189635
-0.06515016,4148.732,1.572375,0.06834671,68.195414
-9999,-9999,-9999,-9999,68.2012166144
-9999,-9999,-9999,-9999,68.208158
-9999,-9999,-9999,-9999,68.2103157284
-0.4109933,4969.557,2.75968,0.04239432,68.243968
-9999,-9999,-9999,-9999,68.26125
-9999,-9999,-9999,-9999,68.2667319465
-9999,-9999,-9999,-9999,68.268915
0.2688841,4686.613,2.56613,0.01717901,68.284604
-9999,-9999,-9999,-9999,68.290497
-0.1044323,4969.058,2.899054,0.01947305,68.294077
-0.181298,4529.544,2.226476,0.07823447,68.300678
-0.09086941,4876.272,2.687712,0.04453844,68.304135
-0.5517316,4104.681,1.215613,0.1021954,68.308993
-9999,-9999,-9999,-9999,68.31026
-0.3717136,4549.577,2.244155,0.2289912,68.331593
-0.02340838,4831.025,2.726718,0.02991761,68.332631
-9999,-9999,-9999,-9999,68.3399967858
-0.4713745,5013.708,2.697977,0.1051364,68.340234
0.2925294,4657.711,2.438845,0.07679653,68.363062
-0.1074249,4943.146,3.016987,0.06358372,68.365459
-9999,-9999,-9999,-9999,68.366066
0.2171584,4555.058,2.438275,0.05634793,68.369786
-0.1654622,3832.801,0.8296529,0.0436417,68.388393
-0.2620434,4975.936,2.600688,0.1174972,68.397126
-0.09574699,5075.299,3.278627,0.03693256,68.403758
-0.3741476,4687.71,2.203893,0.06471676,68.419888
-0.3620503,4988.194,2.711777,0.06202295,68.424221
-9999,-9999,-9999,-9999,68.450798
0.02364456,4462.771,1.903132,0.02889699,68.456362
-0.1377757,4988.592,2.659312,0.04005612,68.458849
-0.2022641,4565.224,2.180512,0.048496,68.485309
-0.07131755,4893.614,2.70117,0.03543872,68.502564
-0.5315403,4515.193,2.055053,0.07817103,68.506885
0.2836737,4745.614,2.79401,0.04878451,68.520828
-0.263815,4908.962,2.732307,0.08797712,68.534224
-0.1717604,4912.55,2.645169,0.06224573,68.55114
-0.3547334,4744.318,2.445575,0.04263318,68.561757
-0.3653869,4580.971,2.117098,0.06040157,68.561953
-0.1360201,4682.128,2.323422,0.04359225,68.573755
-0.0765692,4783.386,2.610383,0.06413873,68.58154
-9999,-9999,-9999,-9999,68.593708
-9999,-9999,-9999,-9999,68.5949390978
-0.1145433,4951.717,2.714857,0.04820807,68.602662
0.05351591,4852.154,2.682465,0.04310111,68.604109
-0.1875543,4988.892,3.072531,0.05799352,68.605587
-0.3074489,4921.818,2.676649,0.05777564,68.606621
-0.08410427,4904.178,2.764014,0.08386897,68.639527
-0.3439475,4893.813,2.638783,0.05761731,68.641566
-9999,-9999,-9999,-9999,68.654872
-0.3475973,4789.167,2.582896,0.06923881,68.655724
-0.2873307,4893.215,3.047439,0.06650455,68.672155
-0.1967437,4675.052,2.678587,0.1946498,68.686241
-0.1057892,4967.763,2.802907,0.04121902,68.693891
-0.199621,4967.265,3.241559,0.06604104,68.708653
-0.03730503,4926.502,2.760592,0.03828999,68.752489
-0.2822394,4980.42,2.66684,0.09949896,68.752734
0.05760055,4991.482,3.093175,0.03608317,68.758251
-0.2215447,4945.438,2.434169,0.062181,68.763946
0.2209776,5017.694,2.903845,0.0263082,68.765849
-0.2949448,4944.741,2.74759,0.04962543,68.776035
-0.534332,4959.092,2.607646,0.1125949,68.786007
0.02885435,4956.003,3.246007,0.05080925,68.798438
-0.1439685,4859.828,2.632966,0.05893731,68.802202
-0.3423894,4873.481,2.617796,0.08966318,68.816504
-0.0967178,4360.417,1.854773,0.05310078,68.821372
-0.1542521,4716.213,2.37007,0.03740806,68.846488
-0.4620843,4064.218,1.223711,0.05740476,68.846703
0.008556325,5085.365,2.957336,0.02653683,68.873067
-0.2756338,4390.216,1.672628,0.08903241,68.875598
0.01015289,4370.283,1.984339,0.02236046,68.905905
-0.2530569,5019.587,2.789334,0.0336513,68.908631
-0.05848722,4607.282,2.188154,0.03343938,68.917912
0.0830728,4915.938,2.748275,-0.004090251,68.920034
-0.3245519,4803.418,2.707443,0.09330147,68.924916
-0.1033545,4395.996,1.794438,0.0237035,68.938163
0.2177497,4829.331,2.623043,0.06283111,68.948468
-9999,-9999,-9999,-9999,68.9558427701
-0.03676193,4842.686,2.588827,0.0604026,68.965687
-0.3019375,5105.397,2.923804,0.08520358,69.002323
-9999,-9999,-9999,-9999,69.014504
-0.4578581,4910.158,2.701968,0.1074567,69.0153
-9999,-9999,-9999,-9999,69.031728
0.01287983,4822.853,2.778499,0.02998545,69.034343
-0.4375715,4399.086,1.815538,0.06892614,69.0406
-9999,-9999,-9999,-9999,69.040703
-0.5299379,4673.857,2.156789,0.1007593,69.051034
-0.2467109,4609.375,2.093147,0.06987007,69.063627
0.08906421,4578.778,2.211991,-0.01207991,69.065938
-0.1796729,4921.619,2.722498,0.07615305,69.075475
-0.08873488,4122.322,1.520822,0.0403951,69.078306
-0.5394596,3943.227,0.7194765,0.03138093,69.105398
-0.5766045,3947.214,0.8287406,0.04450872,69.143951
-9999,-9999,-9999,-9999,69.1630672625
0.07826101,4399.584,2.010001,0.02352211,69.17695
-0.3819378,4910.357,2.557234,0.1248682,69.197164
-0.2904582,4956.7,2.675394,0.0958948,69.201764
0.01106265,5004.04,2.638212,0.02338531,69.226095
0.02240688,4578.18,2.20606,0.02934232,69.228041
-0.2987236,4998.559,2.733105,0.0718756,69.23979
0.2043972,4748.305,2.633194,0.005217563,69.243141
-9999,-9999,-9999,-9999,69.2585395835
-9999,-9999,-9999,-9999,69.259135
0.04165129,4843.882,2.656347,0.03432915,69.302992
-0.3793612,3912.83,0.6749952,0.03765152,69.322066
-0.3381406,4461.773,2.056421,0.08334903,69.322534
-0.256914,3957.878,0.8792666,0.02943476,69.328229
-9999,-9999,-9999,-9999,69.3300387108
-9999,-9999,-9999,-9999,69.3300950246
-0.2114851,4505.925,2.091436,0.08334112,69.370005
0.1446835,4452.505,2.302208,0.06922813,69.395295
0.0306674,5043.606,3.729712,0.1212748,69.395754
-0.2162281,4682.926,2.628175,0.1107706,69.397152
-9999,-9999,-9999,-9999,69.4077120921
-0.2946995,4661.199,2.305858,0.05604235,69.431479
-9999,-9999,-9999,-9999,69.433087763
-0.1463785,4451.309,2.041708,0.06467059,69.461929
-0.09842208,4660.701,2.346347,0.02383137,69.475418
0.2947041,4969.956,3.255246,0.02966151,69.489787
0.2503136,4263.843,1.900509,0.04207566,69.491049
-9999,-9999,-9999,-9999,69.5035289199
-0.03789783,4990.287,2.787966,0.06242964,69.520905
-0.05903056,4849.862,2.752152,0.06408983,69.525082
0.2344829,4930.987,3.026453,0.02052676,69.529675
-9999,-9999,-9999,-9999,69.5425959687
-9999,-9999,-9999,-9999,69.547571
0.1419955,4893.215,2.727517,0.04274855,69.575605
0.09452686,4929.094,3.316265,0.06731866,69.581787
0.330653,4764.749,2.56613,0.0141964,69.582457
-0.4568627,4785.081,2.637528,0.09633024,69.594243
0.2302611,4519.279,2.22237,0.04887362,69.595968
-9999,-9999,-9999,-9999,69.6011016524
-0.6481305,4464.265,1.859335,0.08593091,69.610515
-0.02394982,5124.932,2.967829,0.005525858,69.621168
-9999,-9999,-9999,-9999,69.6241984044
-0.2220423,5034.438,2.777814,0.06071771,69.632167
-9999,-9999,-9999,-9999,69.653783404
-0.5819934,4093.818,1.144443,0.0855238,69.736443
-0.4563677,4884.644,2.632509,0.1220372,69.750673
-0.1894947,4735.548,2.601829,0.04652924,69.757306
-0.4032597,4672.262,2.352506,0.07967357,69.758247
-0.2569391,4881.554,2.590195,0.01231706,69.766715
-9999,-9999,-9999,-9999,69.7703776482
-0.05653324,5000.153,2.879095,0.02594232,69.77631
-9999,-9999,-9999,-9999,69.831309
0.1592271,4517.086,2.173441,0.03316613,69.859551
-0.02620918,4987.895,2.824805,0.02402757,69.8639
-0.2528597,4848.367,2.623157,0.05160991,69.872795
-9999,-9999,-9999,-9999,69.885679
-9999,-9999,-9999,-9999,69.889512
-0.3909859,5040.118,2.773139,0.06576602,69.896616
-0.5033749,4821.159,2.563849,0.08655093,69.90882
-0.2586078,4830.926,2.531913,0.07971783,69.911201
0.2651726,4895.507,2.867347,0.01895482,69.923986
0.1978367,4385.731,1.976469,0.03497164,69.937432
-0.895533,4641.566,2.090752,0.1385608,69.959377
-9999,-9999,-9999,-9999,69.9726170345
-0.04497389,4393.206,1.770259,0.01938625,69.973329
0.01613009,4765.646,2.614375,0.04219626,69.979962
-0.4357529,4279.59,1.533254,0.06488623,69.984748
-0.0347027,4777.606,2.682579,0.05793063,69.99352
-0.1871093,4944.94,2.792528,0.01953833,70.014538
-0.4193936,4085.247,1.13931,0.07525446,70.01562
0.2065658,4670.967,2.387064,0.04026224,70.040808
0.1065573,4977.231,2.974216,0.02796752,70.062303
0.002541018,4167.967,1.400495,0.0230531,70.072941
-0.213367,4618.045,2.260122,0.05442922,70.095809
0.07136199,4889.926,2.725464,0.02148531,70.182825
-0.2303626,4966.068,2.720445,0.07588451,70.299405
-0.04269031,4798.436,2.56248,0.05182774,70.328023
-0.1401737,5035.833,2.783175,0.05915084,70.337124
0.2862244,4533.432,2.303463,0.09561048,70.35049
-0.5106027,4837.304,2.855828,0.2230297,70.351979
-0.3537471,4948.528,2.614033,0.06984364,70.355536
-0.2747515,4975.536,2.751354,0.06190301,70.362592
-9999,-9999,-9999,-9999,70.368012
0.2211635,4714.519,2.582098,0.01600254,70.371877
-0.4463407,4500.244,1.808239,0.07973681,70.376693
-9999,-9999,-9999,-9999,70.4457159345
-9999,-9999,-9999,-9999,70.448829
